conceptType,conceptUri,broaderType,broaderUri
SkillGroup,http://data.europa.eu/esco/isced-f/1000,SkillGroup,http://data.europa.eu/esco/isced-f/100
SkillGroup,http://data.europa.eu/esco/isced-f/101,SkillGroup,http://data.europa.eu/esco/isced-f/10
SkillGroup,http://data.europa.eu/esco/isced-f/1010,SkillGroup,http://data.europa.eu/esco/isced-f/101
SkillGroup,http://data.europa.eu/esco/isced-f/1011,SkillGroup,http://data.europa.eu/esco/isced-f/101
SkillGroup,http://data.europa.eu/esco/isced-f/1012,SkillGroup,http://data.europa.eu/esco/isced-f/101
SkillGroup,http://data.europa.eu/esco/isced-f/1013,SkillGroup,http://data.europa.eu/esco/isced-f/101
SkillGroup,http://data.europa.eu/esco/isced-f/1014,SkillGroup,http://data.europa.eu/esco/isced-f/101
SkillGroup,http://data.europa.eu/esco/isced-f/1015,SkillGroup,http://data.europa.eu/esco/isced-f/101
SkillGroup,http://data.europa.eu/esco/isced-f/1019,SkillGroup,http://data.europa.eu/esco/isced-f/101
SkillGroup,http://data.europa.eu/esco/isced-f/102,SkillGroup,http://data.europa.eu/esco/isced-f/10
SkillGroup,http://data.europa.eu/esco/isced-f/1020,SkillGroup,http://data.europa.eu/esco/isced-f/102
SkillGroup,http://data.europa.eu/esco/isced-f/1021,SkillGroup,http://data.europa.eu/esco/isced-f/102
SkillGroup,http://data.europa.eu/esco/isced-f/1022,SkillGroup,http://data.europa.eu/esco/isced-f/102
SkillGroup,http://data.europa.eu/esco/isced-f/1029,SkillGroup,http://data.europa.eu/esco/isced-f/102
SkillGroup,http://data.europa.eu/esco/isced-f/103,SkillGroup,http://data.europa.eu/esco/isced-f/10
SkillGroup,http://data.europa.eu/esco/isced-f/1030,SkillGroup,http://data.europa.eu/esco/isced-f/103
SkillGroup,http://data.europa.eu/esco/isced-f/1031,SkillGroup,http://data.europa.eu/esco/isced-f/103
SkillGroup,http://data.europa.eu/esco/isced-f/1032,SkillGroup,http://data.europa.eu/esco/isced-f/103
SkillGroup,http://data.europa.eu/esco/isced-f/1039,SkillGroup,http://data.europa.eu/esco/isced-f/103
SkillGroup,http://data.europa.eu/esco/isced-f/104,SkillGroup,http://data.europa.eu/esco/isced-f/10
SkillGroup,http://data.europa.eu/esco/isced-f/1041,SkillGroup,http://data.europa.eu/esco/isced-f/104
SkillGroup,http://data.europa.eu/esco/isced-f/108,SkillGroup,http://data.europa.eu/esco/isced-f/10
SkillGroup,http://data.europa.eu/esco/isced-f/1088,SkillGroup,http://data.europa.eu/esco/isced-f/108
SkillGroup,http://data.europa.eu/esco/isced-f/109,SkillGroup,http://data.europa.eu/esco/isced-f/10
SkillGroup,http://data.europa.eu/esco/isced-f/1099,SkillGroup,http://data.europa.eu/esco/isced-f/109
SkillGroup,http://data.europa.eu/esco/isced-f/99,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/999,SkillGroup,http://data.europa.eu/esco/isced-f/99
SkillGroup,http://data.europa.eu/esco/isced-f/9999,SkillGroup,http://data.europa.eu/esco/isced-f/999
SkillGroup,http://data.europa.eu/esco/skill/00d5d1d2-c521-4c58-9df5-2939c0ce9adb,SkillGroup,http://data.europa.eu/esco/skill/e1746275-6d4e-4b02-b526-eeebf3052b6d
SkillGroup,http://data.europa.eu/esco/skill/0101f8a4-4243-4e67-813b-3e2a6274f7e2,SkillGroup,http://data.europa.eu/esco/skill/0a2d70ee-d435-4965-9e96-702b2fb65740
SkillGroup,http://data.europa.eu/esco/skill/021a23e1-907e-4627-b05a-555f889cbb65,SkillGroup,http://data.europa.eu/esco/skill/04a13491-b58c-4d33-8b59-8fad0d55fe9e
SkillGroup,http://data.europa.eu/esco/skill/02208098-ee91-4df0-8581-5c1a04d8fe0a,SkillGroup,http://data.europa.eu/esco/skill/9b8bb484-dcba-49af-8ae0-cfe8b6e9ed45
SkillGroup,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,SkillGroup,http://data.europa.eu/esco/skill/552c4f35-a2d1-49c2-8fda-afe26695c44a
SkillGroup,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,SkillGroup,http://data.europa.eu/esco/skill/8bbdf1f1-e943-45fc-af2f-1446cbd88245
SkillGroup,http://data.europa.eu/esco/skill/03e0b95b-67d1-457a-b3f7-06c407cf6bec,SkillGroup,http://data.europa.eu/esco/skill/335228d2-297d-4e0e-a6ee-bc6a8dc110d9
SkillGroup,http://data.europa.eu/esco/skill/03efa398-a1cc-4589-9c10-84bf10f8d42d,SkillGroup,http://data.europa.eu/esco/skill/02208098-ee91-4df0-8581-5c1a04d8fe0a
SkillGroup,http://data.europa.eu/esco/skill/048812ba-45ff-4801-b04f-b20c03432809,SkillGroup,http://data.europa.eu/esco/skill/c73521be-c039-4e22-b037-3b01b3f6f9d9
SkillGroup,http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,SkillGroup,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038
SkillGroup,http://data.europa.eu/esco/skill/06769591-b8cf-46b2-b1d3-6602b1cf440e,SkillGroup,http://data.europa.eu/esco/skill/2198d7a0-6eca-4795-b877-98a19064e61a
SkillGroup,http://data.europa.eu/esco/skill/06fdd94c-292d-49e3-9c78-bbcbc2088232,SkillGroup,http://data.europa.eu/esco/skill/325a3d29-a235-4182-9128-782c0f4b2dcc
SkillGroup,http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,SkillGroup,http://data.europa.eu/esco/skill/5c26881e-2759-4a38-b136-5e0f6071b524
SkillGroup,http://data.europa.eu/esco/skill/07f47dea-587c-40c0-990a-6c092cc3e6a4,SkillGroup,http://data.europa.eu/esco/skill/6889a21c-837b-49a2-be61-bb6010ab63f4
SkillGroup,http://data.europa.eu/esco/skill/08104c27-d4b2-4d40-ae97-dde65e71712f,SkillGroup,http://data.europa.eu/esco/skill/24ad2ffb-dece-4704-8155-63ea9428d038
SkillGroup,http://data.europa.eu/esco/skill/0a295163-3e17-47ad-99ac-2b507ce30adb,SkillGroup,http://data.europa.eu/esco/skill/dc06de9f-dd3a-4f28-b58f-b01b5ae72ab8
