keyword,rapidfuzz,miniLM,multiLM,best_model
uber,60.0,0.6418287754058838,0.9096390008926392,multiLM
product,66.66666666666666,0.49972689151763916,0.8707942962646484,multiLM
sich,100.0,0.47717446088790894,0.930951714515686,rapidfuzz
weiterentwicklung,75.0,0.6451292037963867,0.896699070930481,multiLM
haben,100.0,0.7897771596908569,0.8644014596939087,rapidfuzz
1232018,21.42857142857143,0.3925968110561371,0.5737495422363281,multiLM
owner,50.0,0.4142587184906006,0.724267840385437,multiLM
experte,58.8235294117647,0.5769951343536377,0.7619473338127136,multiLM
produktmanagement,82.05128205128204,0.8494693040847778,0.9412401914596558,multiLM
munchen,60.0,0.6113157272338867,0.9286355972290039,multiLM
unserer,58.8235294117647,0.5452080965042114,0.7724080681800842,multiLM
einer,100.0,0.6206122040748596,0.9239991903305054,rapidfuzz
business,58.333333333333336,0.5812768340110779,0.9066998958587646,multiLM
allianz,57.142857142857146,0.6357542276382446,0.6248964071273804,miniLM
erfahrung,70.58823529411765,0.6259874105453491,0.7896652221679688,multiLM
ihre,100.0,0.5463181734085083,0.9163454174995422,rapidfuzz
sich,100.0,0.47717446088790894,0.930951714515686,rapidfuzz
online,100.0,0.5487455129623413,0.8286733627319336,rapidfuzz
anwendungen,69.56521739130434,0.64069664478302,0.8527635931968689,multiLM
agilen,58.8235294117647,0.6001215577125549,0.9739804267883301,multiLM
erstellung,76.92307692307692,0.70918869972229,0.921043872833252,multiLM
sowie,100.0,0.5816015005111694,0.9004077911376953,rapidfuzz
unter,100.0,0.5735883116722107,0.9052093029022217,rapidfuzz
weiterentwicklung,75.0,0.6451292037963867,0.896699070930481,multiLM
bereich,70.58823529411765,0.682166576385498,0.8799961805343628,multiLM
leitung,66.66666666666666,0.7448028326034546,0.8010916113853455,multiLM
klassischen,71.42857142857143,0.6926319599151611,0.7875837683677673,multiLM
projekten,69.56521739130434,0.8326525688171387,0.8883005380630493,multiLM
agile,100.0,0.7291461229324341,0.8957072496414185,rapidfuzz
kandidatinnen,64.51612903225806,0.6682382822036743,0.7206293940544128,multiLM
dich,66.66666666666666,0.6816191673278809,0.8478400707244873,multiLM
transformation,74.07407407407408,0.5242063999176025,0.7375132441520691,rapidfuzz
haben,100.0,0.7897771596908569,0.8644014596939087,rapidfuzz
karrierestufe,59.25925925925926,0.6433058977127075,0.8458765745162964,multiLM
coach,60.0,0.6195123195648193,0.7401338219642639,multiLM
bewerben,100.0,0.7366191148757935,0.916771411895752,rapidfuzz
cassini,57.142857142857146,0.46976667642593384,0.7917660474777222,multiLM
unternehmen,72.0,0.7962695956230164,0.8782243132591248,multiLM
unseren,66.66666666666666,0.6284183263778687,0.7640923261642456,multiLM
organisationsentwicklung,69.56521739130434,0.7458447217941284,0.8558590412139893,multiLM
geklickt,52.63157894736842,0.6713801026344299,0.626606285572052,miniLM
sebastian,60.0,0.42732203006744385,0.8680133819580078,multiLM
trautwein,66.66666666666666,0.7271355390548706,0.9284102916717529,multiLM
uber,60.0,0.6418287754058838,0.9096390008926392,multiLM
verfugst,66.66666666666666,0.6983038187026978,0.9002645015716553,multiLM
abteilungen,64.70588235294117,0.8648755550384521,0.7567945718765259,miniLM
technischer,100.0,0.6190037727355957,0.8854260444641113,rapidfuzz
referenznummer,54.166666666666664,0.5309043526649475,0.5434244871139526,multiLM
21118,25.0,0.4294237494468689,0.6002541780471802,multiLM
dein,61.53846153846154,0.6727120876312256,0.8822494745254517,multiLM
kannst,57.142857142857146,0.659732460975647,0.8523098230361938,multiLM
